"c_ParticipantFirstName","c_ParticipantLastName","n_StartOrder","n_TimeAbs"
"Kaillie","Humphries",20,259270
"Elana","Meyers Taylor",18,260810
"Christine","de Bruin",19,261030
"Laura","Nolte",17,261330
"Breeana","Walker",16,261460
"Mingming","Huai",15,262580
"Melanie","Hasler",12,262810
"Cynthia","Appiah",13,263040
"Qing","Ying",14,263410
"Nadezhda","Sergeeva",11,263590
"Margot","Boch",10,263820
"Andreea","Grecu",9,263990
"Mariama","Jamanka",7,264000
"Katrin","Beierl",8,264520
"Giada","Andreutti",5,264790
"Karlien","Sleper",6,264970
"Viktoria","Cernanska",4,265250
"Yooran","Kim",3,266520
"Jazmine","Fenlator",2,268560
"Lidiia","Hunko",1,269100
